"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"OyFxeX-zvG2tt-xcuwLW"
"angele.edgecumbe@edu.tbz.ch"|"gSHev6-#Q90iT-Cwj6fY"
"zhi.andreasson@edu.tbz.ch"|"F%I0lU-DazKkj-y1MyuJ"
"judicael.koppeck@edu.tbz.ch"|"Cm&mav-GC3MpQ-YMBfFW"
"berengere.capron@edu.tbz.ch"|"hePJEZ-NcmZr#-ObJuvw"
"leonie.brosini@edu.tbz.ch"|"ZOnS25-4M40eF-ad@6hD"
"venus.garfit@edu.tbz.ch"|"hxJRTL-rEVvnq-oGEk@R"
"melina.janota@edu.tbz.ch"|"1qXcBY-#S4cW8-#w5X6b"
"laurene.bake@edu.tbz.ch"|"FPjM5V-ZfEdv8-n#fllR"
"regine.dorkins@edu.tbz.ch"|"WH$xjV-6AQAVm-Pod0d$"
"cecile.moffet@edu.tbz.ch"|"dMrIfp-$vDgXk-RNV1Kj"
"maelann.labrone@edu.tbz.ch"|"b1Bx2I-5jgRJh-fx7him"
"melinda.newbold@edu.tbz.ch"|"%ZzQ8L-PCwFMH-jDQTV8"
"mans.itzhak@edu.tbz.ch"|"DKedIB-jJj31$-nyu6ei"
"melodie.pattlel@edu.tbz.ch"|"cBzgQr-7nK3Th-D@6pBZ"
"celine.bonett@edu.tbz.ch"|"X90JvQ-2lftoU-$oNPE8"
"adelie.mcgreal@edu.tbz.ch"|"F7G9X6-RLBgkT-L8c#uu"
"helene.soldan@edu.tbz.ch"|"nMBEJA-oJKJuq-$yw0yd"
"michele.cluer@edu.tbz.ch"|"mRjyYz-KbjB9@-aK9SdT"
"maeline.mueller@edu.tbz.ch"|"zePVBc-DqeeN#-WsD0ub"
"maelann.benedito@edu.tbz.ch"|"3yW&Dz-O@VowS-$Pa$lu"
"nuo.gransden@edu.tbz.ch"|"iYJQqQ-gJUCYB-BmIHT5"
"berengere.stainton@edu.tbz.ch"|"ZkRVNn-@lCGTn-mexkEr"
"wa.sabater@edu.tbz.ch"|"TbZAfs-7vrJMn-geH9&0"
"anais.cochran@edu.tbz.ch"|"VvR3Y8-ZjgS4m-7gp9Z9"
"gerald.bessant@edu.tbz.ch"|"CstHtD-9cp7vg-p77l7R"
"ruo.coffin@edu.tbz.ch"|"a62F0F-TbcyZy-Eb3TBX"
"melodie.mustill@edu.tbz.ch"|"a8epq0-3bHofI-Mwvbpq"
"ruo.stanesby@edu.tbz.ch"|"@VuCjD-7cVvz1-$SOHlY"
"noemie.antognelli@edu.tbz.ch"|"6gp5PV-&QfBK8-GJQ8v@"
"maelann.hughson@edu.tbz.ch"|"QeE@7x-&vEAs4-RULc%n"
"milena.mieville@edu.tbz.ch"|"G5JLbK-PS9e6B-p91u$y"
"mailys.chamberlin@edu.tbz.ch"|"#gs#ox-abWjL7-PoY38$"
"nadege.tomalin@edu.tbz.ch"|"dnxxS8-pbkkRZ-7bCPM5"
"oceane.omara@edu.tbz.ch"|"IY4qXb-C3TQbO-jZsjeK"
"cecile.aguirrezabala@edu.tbz.ch"|"O87DjJ-xNc8GF-bcxh&#"
"maella.gwillim@edu.tbz.ch"|"ZssGAb-RuXIFS-qXIom1"
"lea.mcgahey@edu.tbz.ch"|"mdOiDX-0jf%yO-BGON@0"
"laurene.hagerty@edu.tbz.ch"|"42BXrm-WWnbb@-iXBQ#M"
"dorothee.link@edu.tbz.ch"|"QRJvQT-1iiRXw-viAv9Q"
"clementine.kynsey@edu.tbz.ch"|"vnJbx5-NWHmxN-uPU%df"
"lorene.smitherman@edu.tbz.ch"|"t5gUsG-DXbIjE-%HW7VI"
"cleopatre.klulicek@edu.tbz.ch"|"ihUC#e-9HniM&-xeFdJj"
"laurene.castaneda@edu.tbz.ch"|"aw9ts#-J0ms4N-EA9CeJ"
"melia.constant@edu.tbz.ch"|"c$rtQh-1yUWFC-BoMWB8"
"lucrece.clunie@edu.tbz.ch"|"A4%Z1p-@Io2q#-g7b&6%"
"eleonore.mcmurthy@edu.tbz.ch"|"7@iXhg-QvDFaG-ZibLEM"
"melia.bevar@edu.tbz.ch"|"3FSGsv-S9WndA-JgsCUz"
"camelia.bontine@edu.tbz.ch"|"@zARP0-pL1#0m-WPDrYN"
"methode.jozefczak@edu.tbz.ch"|"09$Kxn-HOddFn-Lv9OpZ"
"audreanne.hinsche@edu.tbz.ch"|"&@HW2o-au0z@v-nsv1@D"
"andree.varne@edu.tbz.ch"|"F4eJIq-IYvZUc-0ibu98"
"marten.kinleyside@edu.tbz.ch"|"pm5JPq-48pSWA-NMBG#S"
"esteve.mcewan@edu.tbz.ch"|"Ow9@dR-E$7wwm-w@aAPB"
"leane.dibbert@edu.tbz.ch"|"Oqtf&5-c1XqnS-lG6l9Q"
"ma.thewlis@edu.tbz.ch"|"&vKsYo-5%ptGg-i2@K2S"
"clea.djurkovic@edu.tbz.ch"|"#OGrsR-U9RG2x-vCdbIh"
"rachele.reburn@edu.tbz.ch"|"qFwVcM-37WyA3-JBU9yO"
"gerald.gowling@edu.tbz.ch"|"dEV0kQ-l46Hvz-pEGRTe"
"cleopatre.jackson@edu.tbz.ch"|"S&HMHI-P5Pjq7-ARZ#C6"
"desiree.haskins@edu.tbz.ch"|"bYr7aT-4kV1lw-Uv6k7r"
"eleonore.longson@edu.tbz.ch"|"#hL69@-9l@tzt-YjEozJ"
"leane.dybell@edu.tbz.ch"|"XXetuf-GpIfgU-kcQlAn"
"becassine.grzesiak@edu.tbz.ch"|"AiZ4b3-3OsIjn-#2Au5B"
"marie-josee.pickin@edu.tbz.ch"|"ubCMJm-mXW&$j-Bsgt7u"
"marie-josee.roxby@edu.tbz.ch"|"MeBarC-&7fIBj-R2c#iv"
"leonie.feenan@edu.tbz.ch"|"oV&rN7-vkrAvY-P1TGvk"
"valerie.ellum@edu.tbz.ch"|"A4rXvS-94dYOz-cc6oD6"
"ju.caseri@edu.tbz.ch"|"%pBwy6-zorH9R-zXQA8q"
"boerje.strangman@edu.tbz.ch"|"iIctnL-0LG$Yx-mIeYSZ"
"beatrice.ghidelli@edu.tbz.ch"|"bMiuQc-JN%d9X-1FtixJ"
"da.jablonski@edu.tbz.ch"|"bq8aY7-hjFGtS-TQDB6x"
"uo.beveridge@edu.tbz.ch"|"521IYo-W372%I-XQHYDj"
"valerie.bestman@edu.tbz.ch"|"WXk1QL-a%uuWF-8MfitI"
"marlene.pohls@edu.tbz.ch"|"iXQIW%-1Ui4s1-13#kah"
"ma.nolda@edu.tbz.ch"|"ayMJMq-gFN6yb-Yxdj0@"
"marlene.bisiker@edu.tbz.ch"|"p4n@t4-OtKFQk-Sy$Bx$"
"estee.babon@edu.tbz.ch"|"5I@FgI-@bWrph-Y5mWVP"
"simplifies.dmisek@edu.tbz.ch"|"84ig1L-Wps&tN-akLDcj"
