"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"hbd%Tk-www3Pg-gn4DJO"
"angele.edgecumbe@edu.tbz.ch"|"taOuuI-4838yA-nE4PD1"
"zhi.andreasson@edu.tbz.ch"|"RjFRHA-RePrSE-emE5&L"
"judicael.koppeck@edu.tbz.ch"|"@F77wC-qLFutg-V#tiy&"
"berengere.capron@edu.tbz.ch"|"1@3TYY-vwiIO6-MpgtI$"
"leonie.brosini@edu.tbz.ch"|"uQfokp-Gww0Qm-ApfNn$"
"venus.garfit@edu.tbz.ch"|"KRHSsR-aRR7a5-Wa6RAl"
"melina.janota@edu.tbz.ch"|"5K60eB-P4a9VE-XyVcGa"
"laurene.bake@edu.tbz.ch"|"U@ZW1W-%TcSMu-@P0DOe"
"regine.dorkins@edu.tbz.ch"|"@WU#7C-BzIRns-i%w#P1"
"cecile.moffet@edu.tbz.ch"|"ojqxXh-C2TD93-eN%#En"
"maelann.labrone@edu.tbz.ch"|"HA0m69-jnnO5q-$9oDw@"
"melinda.newbold@edu.tbz.ch"|"aiI1Tj-Y#x@h#-GK5u5X"
"mans.itzhak@edu.tbz.ch"|"4U7zNA-QwmLuJ-E8SR8R"
"melodie.pattlel@edu.tbz.ch"|"%kbN8Z-GPdja7-wkCOjh"
"celine.bonett@edu.tbz.ch"|"6HQuCu-@muSUS-svbK3l"
"adelie.mcgreal@edu.tbz.ch"|"1C6jta-ysINx%-lOfC5O"
"helene.soldan@edu.tbz.ch"|"#urHca-7Yxo@o-Bi0FSB"
"michele.cluer@edu.tbz.ch"|"&MoZ5j-Lq0eMT-hNr9UU"
"maeline.mueller@edu.tbz.ch"|"ytV#9O-7y3Qvh-qyeB8#"
"maelann.benedito@edu.tbz.ch"|"ujg88y-fKIKcQ-rJQcbL"
"nuo.gransden@edu.tbz.ch"|"6vYkN0-XWKqpn-ZI50GV"
"berengere.stainton@edu.tbz.ch"|"Mv7hZP-FuTDxm-JUmA%6"
"wa.sabater@edu.tbz.ch"|"jLvKhL-YCjFGU-nvask5"
"anais.cochran@edu.tbz.ch"|"Pn@A0Q-CGxkH&-exGErr"
"gerald.bessant@edu.tbz.ch"|"$se$UP-HXgQFN-l7KoSN"
"ruo.coffin@edu.tbz.ch"|"83EF3T-VA5vSR-fR2RfB"
"melodie.mustill@edu.tbz.ch"|"fL#$WZ-D3lqba-DHFYkK"
"ruo.stanesby@edu.tbz.ch"|"y76ghe-vG2NVe-Rk4lMM"
"noemie.antognelli@edu.tbz.ch"|"WsBXO1-Ue4dym-D@XEOv"
"maelann.hughson@edu.tbz.ch"|"x#fBUH-VPLH#@-bHyu35"
"milena.mieville@edu.tbz.ch"|"KzW#Ju-2flp6I-Rz@9mN"
"mailys.chamberlin@edu.tbz.ch"|"32MMEN-BZngAM-gM4Euj"
"nadege.tomalin@edu.tbz.ch"|"8jTvmf-JcIgMg-XWSTTY"
"oceane.omara@edu.tbz.ch"|"8iwXxI-d8ULEt-HkHHEZ"
"cecile.aguirrezabala@edu.tbz.ch"|"W@4nEP-BZOf1G-t18iXF"
"maella.gwillim@edu.tbz.ch"|"w%wbuL-uCZeaf-a6X&kC"
"lea.mcgahey@edu.tbz.ch"|"@PQzg&-SIX51#-g9hbdx"
"laurene.hagerty@edu.tbz.ch"|"oP6SnC-n888iG-d1K8xS"
"dorothee.link@edu.tbz.ch"|"OOVI@L-BSS384-6K%uw4"
"clementine.kynsey@edu.tbz.ch"|"NOo8rv-#NKV7m-$h&PMO"
"lorene.smitherman@edu.tbz.ch"|"@44jMF-W#dKqY-amFaMB"
"cleopatre.klulicek@edu.tbz.ch"|"xIVdS8-4Rzf28-6Fuz1s"
"laurene.castaneda@edu.tbz.ch"|"IwqKnE-Zog$ht-$c2JFS"
"melia.constant@edu.tbz.ch"|"nIVXoi-dDJrCc-8o3qyP"
"lucrece.clunie@edu.tbz.ch"|"QkUGcr-8s8MP2-%KoIaI"
"eleonore.mcmurthy@edu.tbz.ch"|"M@T7HC-%s3I0o-BSYavc"
"melia.bevar@edu.tbz.ch"|"f8aEi$-2KHqdn-suzP9T"
"camelia.bontine@edu.tbz.ch"|"DCSDks-8V&B1e-UqaMDL"
"methode.jozefczak@edu.tbz.ch"|"p4v#uc-$Ek8mx-Y$GUY3"
"audreanne.hinsche@edu.tbz.ch"|"FU9XcT-2kWpM4-u7@1fz"
"andree.varne@edu.tbz.ch"|"HcK$Yc-##&loK-%K44nT"
"marten.kinleyside@edu.tbz.ch"|"KhTXDs-Oc07bn-ePoOw3"
"esteve.mcewan@edu.tbz.ch"|"NVZX$@-7j$%88-PBY3m9"
"leane.dibbert@edu.tbz.ch"|"jDFlFR-Ca0SwG-AZYZkP"
"ma.thewlis@edu.tbz.ch"|"KjXpp1-VDnBWa-hnkJZf"
"clea.djurkovic@edu.tbz.ch"|"IGlxEz-5Idvi@-9C9tiq"
"rachele.reburn@edu.tbz.ch"|"E3HQ2m-FZKZde-iv8YFm"
"gerald.gowling@edu.tbz.ch"|"CHjuE5-p5CSn$-pTbsuC"
"cleopatre.jackson@edu.tbz.ch"|"PuLKKB-$Bf83P-&NYT9P"
"desiree.haskins@edu.tbz.ch"|"Yqe0K5-CwmEWD-tYyVjj"
"eleonore.longson@edu.tbz.ch"|"42CasX-tP2ObC-y5tf36"
"leane.dybell@edu.tbz.ch"|"z42v5x-DvViyQ-IkY6cl"
"becassine.grzesiak@edu.tbz.ch"|"j6GK1N-%K6PEL-2GJO4u"
"marie-josee.pickin@edu.tbz.ch"|"0DWbH@-@uAsfS-%B46CN"
"marie-josee.roxby@edu.tbz.ch"|"%vO3r2-ZAXpyB-vWLjKJ"
"leonie.feenan@edu.tbz.ch"|"Thy6jU-wlGopB-Hy1duT"
"valerie.ellum@edu.tbz.ch"|"TgPYva-RGW8F@-iHm8Y7"
"ju.caseri@edu.tbz.ch"|"cHqV@w-apipYX-29LoR2"
"boerje.strangman@edu.tbz.ch"|"3DSi@&-Ns1dFd-oDn2cK"
"beatrice.ghidelli@edu.tbz.ch"|"mFGTpp-%ujv5V-xhFtu%"
"da.jablonski@edu.tbz.ch"|"mp8m9I-&BDG2R-uVQ@&6"
"uo.beveridge@edu.tbz.ch"|"Fc0roP-VqV$xC-ajGgoG"
"valerie.bestman@edu.tbz.ch"|"tVHSEX-jgH4Us-nuMz6u"
"marlene.pohls@edu.tbz.ch"|"1oGM7p-hWKjuV-C30ckE"
"ma.nolda@edu.tbz.ch"|"phmNqm-W%wmJz-XlN7bG"
"marlene.bisiker@edu.tbz.ch"|"tscZIS-cUmBw3-nZeh0h"
"estee.babon@edu.tbz.ch"|"aPKfH#-U0Zjgr-2fz@$8"
"simplifies.dmisek@edu.tbz.ch"|"bkLIVK-Mnc5Zg-%4O1%J"
