"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"PZmapI-f#adXY-d49Saa"
"angele.edgecumbe@edu.tbz.ch"|"EYuQy$-da9NH2-vz52CB"
"zhi.andreasson@edu.tbz.ch"|"w%Z023-fpraBy-MUZcz2"
"judicael.koppeck@edu.tbz.ch"|"kl%V3o-3kD#Oy-n6L3xQ"
"berengere.capron@edu.tbz.ch"|"ukc16R-zID1tu-#wJhXk"
"leonie.brosini@edu.tbz.ch"|"G4trqV-pUdPAK-adRj8Y"
"venus.garfit@edu.tbz.ch"|"PV6dHk-Q@6FQt-jwrNyE"
"melina.janota@edu.tbz.ch"|"T0VFab-tbqBJn-xOa5rO"
"laurene.bake@edu.tbz.ch"|"RTgQPP-yioKCr-9Wyt5s"
"regine.dorkins@edu.tbz.ch"|"VEb39u-3EteCQ-eHT4Bt"
"cecile.moffet@edu.tbz.ch"|"ZOnMMQ-N8EdMB-MU8#d8"
"maelann.labrone@edu.tbz.ch"|"zdY9uL-CNWW5j-2omm74"
"melinda.newbold@edu.tbz.ch"|"KZ5nOg-n7v#qh-H1s6d2"
"mans.itzhak@edu.tbz.ch"|"22DPma-SIdnVY-5%l%7S"
"melodie.pattlel@edu.tbz.ch"|"FLgZVG-SEW$G3-fj9xH@"
"celine.bonett@edu.tbz.ch"|"YL6oIe-c57TJ$-l3Txox"
"adelie.mcgreal@edu.tbz.ch"|"Bs7z#R-#NZra9-bVlqih"
"helene.soldan@edu.tbz.ch"|"banF0K-tTy#du-0QUMT$"
"michele.cluer@edu.tbz.ch"|"1NWvTN-toS4dI-VuY3EO"
"maeline.mueller@edu.tbz.ch"|"eGdVd@-qA8mHt-ZIWfuo"
"maelann.benedito@edu.tbz.ch"|"CUtH5L-7WBmcG-QQb7ta"
"nuo.gransden@edu.tbz.ch"|"Bex8n3-yzX6ax-SyfxD&"
"berengere.stainton@edu.tbz.ch"|"1vjfhW-%etilu-PQLk9R"
"wa.sabater@edu.tbz.ch"|"ZluWmY-msu@5i-2f5al$"
"anais.cochran@edu.tbz.ch"|"SdpYDP-lXkxj9-w32Yxd"
"gerald.bessant@edu.tbz.ch"|"WZb0##-cy$d1G-zeTMM9"
"ruo.coffin@edu.tbz.ch"|"LQOVhH-#jSxGf-1mujtA"
"melodie.mustill@edu.tbz.ch"|"xs6Gft-ttLUR%-n50AGB"
"ruo.stanesby@edu.tbz.ch"|"BLuvtk-vJUKRE-#q#fkQ"
"noemie.antognelli@edu.tbz.ch"|"bfKwtG-ISR@Vv-UHikuy"
"maelann.hughson@edu.tbz.ch"|"h&oHml-#ILwTa-o18i5F"
"milena.mieville@edu.tbz.ch"|"E7eV3R-yMp9Sv-j3BuUW"
"mailys.chamberlin@edu.tbz.ch"|"Ju2Ja7-IH3nSE-Q&uN%p"
"nadege.tomalin@edu.tbz.ch"|"LUoBlt-iQm2no-M7IN@8"
"oceane.omara@edu.tbz.ch"|"NT3IqF-vUyKo#-95zE$S"
