"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"MSHzyp-nxuSNm-Bgc%IX"
"angele.edgecumbe@edu.tbz.ch"|"hWjo70-5slruA-GQx8@z"
"zhi.andreasson@edu.tbz.ch"|"TP@M3v-5fUE0Z-1Q&YJc"
"judicael.koppeck@edu.tbz.ch"|"WXwf7S-h@Mxr9-sP7gkX"
"berengere.capron@edu.tbz.ch"|"6GC6hC-F@Uywa-U4tyYJ"
"leonie.brosini@edu.tbz.ch"|"N#r9vX-pRJfDB-wu3N#9"
"venus.garfit@edu.tbz.ch"|"gStDIl-VEatsX-xljEFE"
"melina.janota@edu.tbz.ch"|"nDWnhZ-t#Ir$6-BSn8HU"
"laurene.bake@edu.tbz.ch"|"WN3xnT-xCfF#T-2Dkszr"
"regine.dorkins@edu.tbz.ch"|"shsjjU-fily28-Ii#$Pd"
"cecile.moffet@edu.tbz.ch"|"M%pnEb-mCH6zu-3N&nDI"
"maelann.labrone@edu.tbz.ch"|"O%Y56Y-Vm$3R9-8whkSz"
"melinda.newbold@edu.tbz.ch"|"APO%ef-FEYBzS-szrYWM"
"mans.itzhak@edu.tbz.ch"|"5qYV3n-%KHeii-&5JIBV"
"melodie.pattlel@edu.tbz.ch"|"ufMtwD-11CVdH-TAuLuA"
"celine.bonett@edu.tbz.ch"|"y74ZEP-qocvTQ-6sA0Xn"
"adelie.mcgreal@edu.tbz.ch"|"KzSHDT-o$E0uA-nnQbQU"
"helene.soldan@edu.tbz.ch"|"$rt99p-oO@BP&-w7F0NR"
"michele.cluer@edu.tbz.ch"|"6B5z%M-&QO0sz-7HTRe8"
"maeline.mueller@edu.tbz.ch"|"cN2rNl-dyEqW5-UQby9q"
"maelann.benedito@edu.tbz.ch"|"$ioQN2-zJc2z5-3A5ERn"
"nuo.gransden@edu.tbz.ch"|"xpM%LM-nHXo8A-k44V%4"
"berengere.stainton@edu.tbz.ch"|"$@0CPS-u&%obV-GMzl$M"
"wa.sabater@edu.tbz.ch"|"T#gvzL-wl5rn3-Yl8%GZ"
"anais.cochran@edu.tbz.ch"|"n&aB@6-71V1do-#nTk9B"
"gerald.bessant@edu.tbz.ch"|"8PMKBa-fUI7Ui-ivi9%O"
"ruo.coffin@edu.tbz.ch"|"L60EuO-BsutgB-G3hvw&"
"melodie.mustill@edu.tbz.ch"|"%LEHr&-qNSe&D-c5Pc$Q"
"ruo.stanesby@edu.tbz.ch"|"9OFuxq-BOGAWy-fRCIfR"
"noemie.antognelli@edu.tbz.ch"|"kTTy5i-bRhve4-l3e5@A"
"maelann.hughson@edu.tbz.ch"|"Cpo1eX-0I95QE-tXuIHI"
"milena.mieville@edu.tbz.ch"|"7E5oER-wmNoAZ-@rtHY@"
"mailys.chamberlin@edu.tbz.ch"|"%DJhcA-b&Pbje-Lrve&3"
"nadege.tomalin@edu.tbz.ch"|"V7xk0e-Bu#aFT-k4DGVz"
"oceane.omara@edu.tbz.ch"|"jOWWR@-VGFhht-H7mfue"
"cecile.aguirrezabala@edu.tbz.ch"|"GQERad-UD6Uzo-75%5FJ"
"maella.gwillim@edu.tbz.ch"|"kXz#CZ-89YuM9-uICn0m"
"lea.mcgahey@edu.tbz.ch"|"wsBE82-BoYX0N-2A#MAn"
"laurene.hagerty@edu.tbz.ch"|"tupOCq-ykpVkc-c7upod"
"dorothee.link@edu.tbz.ch"|"sv4Yv&-47JRwL-WnsZn7"
"clementine.kynsey@edu.tbz.ch"|"U3nrxc-XaPYv7-pbn6$B"
"lorene.smitherman@edu.tbz.ch"|"1#Fwk3-62WlMC-h7wAGD"
"cleopatre.klulicek@edu.tbz.ch"|"b$GllB-BoOMaT-1pRHg5"
"laurene.castaneda@edu.tbz.ch"|"zFIQs%-yjqlYc-w@K12T"
"melia.constant@edu.tbz.ch"|"TlRF11-#hoZKq-rkq8wL"
"lucrece.clunie@edu.tbz.ch"|"#DrXGF-VYfVmh-ZM&#8a"
"eleonore.mcmurthy@edu.tbz.ch"|"deKfZY-2O%HY8-aCVGCI"
"melia.bevar@edu.tbz.ch"|"0dVmEv-xfN@4h-r$IsZd"
"camelia.bontine@edu.tbz.ch"|"RUKSsO-3qqNtG-OcUYMc"
"methode.jozefczak@edu.tbz.ch"|"Ces%GR-xBxra3-VCeIL#"
"audreanne.hinsche@edu.tbz.ch"|"x4tyls-XOYaf7-@vNqM6"
"andree.varne@edu.tbz.ch"|"bQjFse-K4dBk%-dxSD2Z"
"marten.kinleyside@edu.tbz.ch"|"&iOPgk-TqbLav-XTYNqA"
"esteve.mcewan@edu.tbz.ch"|"clCFrx-mRdh&B-HNSCEI"
"leane.dibbert@edu.tbz.ch"|"uiogbT-WYc4@d-$hwY$X"
"ma.thewlis@edu.tbz.ch"|"L$XjQ6-8jjW$C-kcAJf3"
"clea.djurkovic@edu.tbz.ch"|"&dUFDU-lGFCKj-46RhQ6"
"rachele.reburn@edu.tbz.ch"|"Oiqhnx-b6OeWc-CUTAsI"
"gerald.gowling@edu.tbz.ch"|"cfaQ8f-qsAPBf-i%zInm"
