"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"42a81z-QZNGOq-hH8beZ"
"angele.edgecumbe@edu.tbz.ch"|"iNPt2u-dYXoDN-RGirLb"
"zhi.andreasson@edu.tbz.ch"|"BHMYbm-wAk9RW-CV&wgC"
"judicael.koppeck@edu.tbz.ch"|"OUJ74c-uPW9Ay-CuTC7X"
"berengere.capron@edu.tbz.ch"|"iUNVV@-LCqz3p-hBhZ7p"
"leonie.brosini@edu.tbz.ch"|"LpMMGf-keOeZN-bZYlCe"
"venus.garfit@edu.tbz.ch"|"E6AQ44-euinjC-9i$ljN"
"melina.janota@edu.tbz.ch"|"#rZkv8-EN2GY@-a1rqQr"
"laurene.bake@edu.tbz.ch"|"IHhgHY-2fcaCj-U4NSL1"
"regine.dorkins@edu.tbz.ch"|"ZYbDZU-1moUXC-azKR@$"
"cecile.moffet@edu.tbz.ch"|"tBDh&d-yXQHEp-33eHpL"
"maelann.labrone@edu.tbz.ch"|"gZ8EB%-YObVU@-tO#dTx"
"melinda.newbold@edu.tbz.ch"|"Gvmu4B-&qfd$M-ZXUitN"
"mans.itzhak@edu.tbz.ch"|"pPrSsp-crB%2%-ypumFQ"
"melodie.pattlel@edu.tbz.ch"|"p@kSt7-NAYw4z-WQxav6"
"celine.bonett@edu.tbz.ch"|"Mz4Ipo-LMOJWV-jnLFUw"
"adelie.mcgreal@edu.tbz.ch"|"kBIfF6-80vQ6e-Pnf2%L"
"helene.soldan@edu.tbz.ch"|"iMkEqP-82mvSv-orCytR"
"michele.cluer@edu.tbz.ch"|"@WyWbT-0iGXeJ-hh8qdj"
"maeline.mueller@edu.tbz.ch"|"9LCZ@4-QfyiMn-Cl7cJ6"
"maelann.benedito@edu.tbz.ch"|"pRR3HC-OUKkaC-AODVe$"
"nuo.gransden@edu.tbz.ch"|"Aff%s3-KKErx#-0VO4ur"
"berengere.stainton@edu.tbz.ch"|"aYhHc9-6WrLce-Kia2DG"
"wa.sabater@edu.tbz.ch"|"PMwosp-dtYkMD-rY5LEg"
"anais.cochran@edu.tbz.ch"|"VIpFZ4-vZEzZu-uEokp5"
"gerald.bessant@edu.tbz.ch"|"7P@Q0z-4zEHf$-HAYa4t"
"ruo.coffin@edu.tbz.ch"|"qk1xzJ-#Kgq3q-fs$Zyx"
"melodie.mustill@edu.tbz.ch"|"PRDN1U-ri7gJD-$0WQzH"
"ruo.stanesby@edu.tbz.ch"|"bq55C6-a9OjT6-gjIbo2"
"noemie.antognelli@edu.tbz.ch"|"$q1mie-%Ruyi#-#dOgSf"
"maelann.hughson@edu.tbz.ch"|"Ni9SUy-b0w9uT-FMMjih"
"milena.mieville@edu.tbz.ch"|"LA@5Am-$%@P%E-tAGqwd"
"mailys.chamberlin@edu.tbz.ch"|"xh&xmg-R@@lVT-%gIul%"
"nadege.tomalin@edu.tbz.ch"|"VFTvIQ-hnTlVa-H35sDN"
"oceane.omara@edu.tbz.ch"|"QfSbH5-rVat%V-bBQ4K6"
"cecile.aguirrezabala@edu.tbz.ch"|"U77A1E-7DTm77-w7I4c6"
"maella.gwillim@edu.tbz.ch"|"CDHxZx-m6yyAH-$3M7QO"
"lea.mcgahey@edu.tbz.ch"|"Uv&ViC-qQiJuc-lrsUJ0"
"laurene.hagerty@edu.tbz.ch"|"3y3ZgL-m%q%gM-E%yTVH"
"dorothee.link@edu.tbz.ch"|"XskdIh-0HAvpz-JiLaSY"
"clementine.kynsey@edu.tbz.ch"|"Pg6GWB-c6D3bF-6zfl$v"
"lorene.smitherman@edu.tbz.ch"|"d8j$&X-3CTpHr-YtEiNO"
"cleopatre.klulicek@edu.tbz.ch"|"xLjjoG-9MUF$D-@nScU6"
"laurene.castaneda@edu.tbz.ch"|"N@vT@T-#u#AXs-J#g#94"
"melia.constant@edu.tbz.ch"|"bLux3a-CsbTW6-4sYTag"
"lucrece.clunie@edu.tbz.ch"|"zSh6kx-7RmvCT-ua2Rt1"
