"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"rpoMMd-ETLB6t-v0wj%t"
"angele.edgecumbe@edu.tbz.ch"|"7vUKOa-C&1DP9-jkhVgL"
"zhi.andreasson@edu.tbz.ch"|"54b2KH-HaVCZN-sPzlWT"
"judicael.koppeck@edu.tbz.ch"|"KwyLSM-Z5mGu4-BprNeK"
"berengere.capron@edu.tbz.ch"|"C#9j$G-4u1d&l-TLKPz7"
"leonie.brosini@edu.tbz.ch"|"m2e7sn-pt%Idr-mEnZB&"
"venus.garfit@edu.tbz.ch"|"P2NdhX-LFMLx6-SsWbmN"
"melina.janota@edu.tbz.ch"|"L3Qg%Y-l1fQ7a-QpyI%q"
"laurene.bake@edu.tbz.ch"|"V13Br8-BQhCqI-Za0qgf"
"regine.dorkins@edu.tbz.ch"|"W#1pGb-FXjxl4-yeQwI&"
"cecile.moffet@edu.tbz.ch"|"5UyvBf-YR%Xws-3M6kPc"
"maelann.labrone@edu.tbz.ch"|"bnkEjU-anViDM-mKHIRx"
"melinda.newbold@edu.tbz.ch"|"&1QJ62-Oq3g#s-fVKeTC"
"mans.itzhak@edu.tbz.ch"|"hW%F8T-V2ghpK-&jsYIb"
"melodie.pattlel@edu.tbz.ch"|"jTv4jE-U06KkX-vx6ZDN"
"celine.bonett@edu.tbz.ch"|"1f$OPF-4R6dRi-wUJIQE"
"adelie.mcgreal@edu.tbz.ch"|"eNKwpx-tG8Qes-SZM&gD"
"helene.soldan@edu.tbz.ch"|"KXUPaQ-YjRHEv-dGyOoR"
"michele.cluer@edu.tbz.ch"|"kUQlkA-q&ahod-p1IeC&"
"maeline.mueller@edu.tbz.ch"|"@LDuKn-LeQkg$-UxAQYA"
"maelann.benedito@edu.tbz.ch"|"mGN0aP-9UC$xI-ApVXGM"
"nuo.gransden@edu.tbz.ch"|"CsznFR-B5BSA8-QIQ6rM"
"berengere.stainton@edu.tbz.ch"|"u2HJJc-Fifj18-lWdEs%"
"wa.sabater@edu.tbz.ch"|"lCRi60-yMZ#LH-tGo4Em"
"anais.cochran@edu.tbz.ch"|"Dtcb#f-HZcfs4-Y7H2fu"
"gerald.bessant@edu.tbz.ch"|"$Rxp7P-Woe$9c-cGPNJn"
"ruo.coffin@edu.tbz.ch"|"mWuJx7-DNrmms-V@t5J2"
"melodie.mustill@edu.tbz.ch"|"mVNMml-PypE1D-#TBxdd"
