"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"52yIGW-xGQdgF-AsJTCv"
"angele.edgecumbe@edu.tbz.ch"|"91F9L7-BKWSMS-B3tg$d"
"zhi.andreasson@edu.tbz.ch"|"6lbpFH-V$aw&x-u6UIb0"
"judicael.koppeck@edu.tbz.ch"|"LjaW90-YZZtKn-GypkSo"
"berengere.capron@edu.tbz.ch"|"xsHZUA-AJKjl3-hd1ew#"
"leonie.brosini@edu.tbz.ch"|"NOskAE-m0%UOl-KVFXfZ"
"venus.garfit@edu.tbz.ch"|"xYBDBl-gPylrI-Dt6Ec0"
"melina.janota@edu.tbz.ch"|"6TYhNi-R7jANN-n%Zneb"
"laurene.bake@edu.tbz.ch"|"nPIOG1-Q7kigR-#TeBfP"
"regine.dorkins@edu.tbz.ch"|"2DVI%Q-@&SNeg-9eXudm"
"cecile.moffet@edu.tbz.ch"|"IxyI4T-Wyz$YR-DsX&xr"
"maelann.labrone@edu.tbz.ch"|"iVK&Ia-xziPDL-2FjMCF"
"melinda.newbold@edu.tbz.ch"|"ZTnizM-IRfvc8-pLiLES"
"mans.itzhak@edu.tbz.ch"|"C5tnd3-KIjKUn-g@UJ&J"
"melodie.pattlel@edu.tbz.ch"|"rU#HRf-@ZtBY@-w#kfaX"
"celine.bonett@edu.tbz.ch"|"3OCWBQ-aSI#7#-9jGC1m"
"adelie.mcgreal@edu.tbz.ch"|"SkA5w@-OVrK5$-y&gcyb"
"helene.soldan@edu.tbz.ch"|"wxmVYN-U0$0LO-eWjUwN"
"michele.cluer@edu.tbz.ch"|"QQ8Jwd-NeOznI-ZGlp$d"
"maeline.mueller@edu.tbz.ch"|"5LSJ5S-UuTyVy-hIJoWv"
"maelann.benedito@edu.tbz.ch"|"$MnTyJ-OyCZT#-u3yqT$"
"nuo.gransden@edu.tbz.ch"|"fyYzXy-&PgCWV-yws6LJ"
"berengere.stainton@edu.tbz.ch"|"wGRQjT-Tpq6i$-pM30Il"
"wa.sabater@edu.tbz.ch"|"vqSquy-0CAvAe-qaWXnF"
"anais.cochran@edu.tbz.ch"|"R2EtU3-lqpoMH-jSrKi7"
