"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"BoZORV-MSd829-kxaiBF"
"angele.edgecumbe@edu.tbz.ch"|"yvY6Rz-II2L9x-S9sN3a"
"zhi.andreasson@edu.tbz.ch"|"MtCsKo-bzo5W3-#AGx0F"
"judicael.koppeck@edu.tbz.ch"|"gX8s2O-edEjf4-wxUyeO"
"berengere.capron@edu.tbz.ch"|"y&dFBT-hSjL4j-k#20qt"
"leonie.brosini@edu.tbz.ch"|"KnoBx$-@74e@v-#w@njJ"
"venus.garfit@edu.tbz.ch"|"H8gsTt-VSiGjQ-6HSBVV"
"melina.janota@edu.tbz.ch"|"x#NY8p-J#b5GB-Fcux85"
"laurene.bake@edu.tbz.ch"|"6$A5m5-9L68D@-LMRLxm"
"regine.dorkins@edu.tbz.ch"|"qqRqVP-6$bZlF-xhJiTE"
"cecile.moffet@edu.tbz.ch"|"Quwnpn-Z#P%&P-NhZIRl"
"maelann.labrone@edu.tbz.ch"|"HoDRoT-#6k8v4-5Ds68i"
"melinda.newbold@edu.tbz.ch"|"Q#3Qba-9@CVwr-bPN$06"
"mans.itzhak@edu.tbz.ch"|"uD7kZh-08INVa-LYnO7l"
"melodie.pattlel@edu.tbz.ch"|"8NjAu@-mCQhZ#-4Mxm8&"
"celine.bonett@edu.tbz.ch"|"S38Bpv-O5VzsP-DF1ibT"
"adelie.mcgreal@edu.tbz.ch"|"KkgXPQ-7rm80S-%TVuUR"
"helene.soldan@edu.tbz.ch"|"yDtMZl-tZ9qYV-cp1rhQ"
"michele.cluer@edu.tbz.ch"|"x@pu7G-xUrHs&-KtY8GW"
"maeline.mueller@edu.tbz.ch"|"UipGwt-1dyi1N-1&aszC"
"maelann.benedito@edu.tbz.ch"|"Ac%8l1-NqYkq&-H7jIqY"
"nuo.gransden@edu.tbz.ch"|"Xgz3SJ-HBsrN1-jX5p0Z"
"berengere.stainton@edu.tbz.ch"|"if2mcp-C1XsV#-3H79zx"
"wa.sabater@edu.tbz.ch"|"BvQTlK-$zxp7I-pTBVMT"
"anais.cochran@edu.tbz.ch"|"DI7@hu-UYbpk9-D&96uB"
"gerald.bessant@edu.tbz.ch"|"25&Uae-bNoCSE-GAJY2J"
"ruo.coffin@edu.tbz.ch"|"lmbd4D-$84w0x-DVEn#T"
"melodie.mustill@edu.tbz.ch"|"4cWI3h-&YO327-Qi&fJT"
