"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"CdU%UC-yvToVC-Te8CDL"
"angele.edgecumbe@edu.tbz.ch"|"wtWLOY-P@Ksv$-AZ0v&8"
"zhi.andreasson@edu.tbz.ch"|"A0MYix-%lD&zp-XNBHWi"
"judicael.koppeck@edu.tbz.ch"|"BjKDTs-9VdCWs-5uC2kn"
"berengere.capron@edu.tbz.ch"|"MAk%EJ-D&hzth-bPmBcw"
"leonie.brosini@edu.tbz.ch"|"af%YWv-yRgWQM-KnCEIa"
"venus.garfit@edu.tbz.ch"|"kSrPYp-h8ZtB9-2QMgW%"
"melina.janota@edu.tbz.ch"|"qXnJFV-2fFvE%-NoXb3R"
"laurene.bake@edu.tbz.ch"|"RbcXE#-EDNszP-MxJI&L"
"regine.dorkins@edu.tbz.ch"|"av0Ov5-WHvO#i-jIoK%Y"
"cecile.moffet@edu.tbz.ch"|"U88mDJ-vbQuV0-RBuxxs"
"maelann.labrone@edu.tbz.ch"|"qpdJ3C-DNAr%&-DR0ejr"
"melinda.newbold@edu.tbz.ch"|"r8VtS@-7IInQC-Kbuw4S"
"mans.itzhak@edu.tbz.ch"|"QyFv9&-x6y3Nx-QgRrKN"
"melodie.pattlel@edu.tbz.ch"|"yqtY1S-Pt#7qA-M2sYab"
"celine.bonett@edu.tbz.ch"|"I1kFdy-JWLA6o-iKtd3v"
"adelie.mcgreal@edu.tbz.ch"|"btEs1W-Z8KLxk-XtrsK#"
"helene.soldan@edu.tbz.ch"|"seQEOQ-1HIgGg-eCPVQV"
"michele.cluer@edu.tbz.ch"|"SjjR&h-SgdrAZ-G#N5Tx"
"maeline.mueller@edu.tbz.ch"|"oiiEB2-Gj0LiB-lDRUlu"
"maelann.benedito@edu.tbz.ch"|"tV0Gi6-d8%qOY-YWXZu%"
"nuo.gransden@edu.tbz.ch"|"4Vknrf-0KT$j7-%%k%Li"
"berengere.stainton@edu.tbz.ch"|"z5ovmb-y3cCA#-HEe$81"
"wa.sabater@edu.tbz.ch"|"inXeof-Rz1Ah#-LDP$oe"
"anais.cochran@edu.tbz.ch"|"@gzH9V-MVBPvG-&Mip6v"
"gerald.bessant@edu.tbz.ch"|"Vlgl15-5$Ry%y-YIYe&c"
"ruo.coffin@edu.tbz.ch"|"9BZyW%-6uDK&3-b1hAeS"
"melodie.mustill@edu.tbz.ch"|"HmcWIs-SBNglT-oEF1cy"
"ruo.stanesby@edu.tbz.ch"|"Tk5pg0-RP8hwp-@kJVnJ"
"noemie.antognelli@edu.tbz.ch"|"s0XtV9-0qvKw2-AsgdN3"
"maelann.hughson@edu.tbz.ch"|"$hfbsY-jrYx2z-ZHd8iq"
"milena.mieville@edu.tbz.ch"|"vlWCgm-ym7$bx-ln$9nH"
"mailys.chamberlin@edu.tbz.ch"|"olzxv3-t7HxyI-dBxCVQ"
"nadege.tomalin@edu.tbz.ch"|"SDiaBP-Te&xUQ-05iAXi"
"oceane.omara@edu.tbz.ch"|"%NqJxZ-@aJ6dG-SrCUWC"
"cecile.aguirrezabala@edu.tbz.ch"|"Zp2kim-59zKnw-qCkYwT"
"maella.gwillim@edu.tbz.ch"|"P&BZDu-Bbc7RQ-I6DCct"
"lea.mcgahey@edu.tbz.ch"|"ZvIaEe-iTQlAf-IoijDr"
"laurene.hagerty@edu.tbz.ch"|"X21Myn-lZxw5B-KEMhg1"
