"email"|"password"
"melodie.van der vlies@edu.tbz.ch"|"7d9Jo8-zR6E$j-Jb&FUS"
"angele.edgecumbe@edu.tbz.ch"|"hc&#jH-VnuHLP-v1#N6J"
"zhi.andreasson@edu.tbz.ch"|"t&AOW1-obWpXA-SkgApw"
"judicael.koppeck@edu.tbz.ch"|"JH2Rr#-#XrUIL-8VDVV7"
"berengere.capron@edu.tbz.ch"|"Egv5fL-2G48Cq-jfN56n"
"leonie.brosini@edu.tbz.ch"|"XRf0X2-IT@bjn-igkarr"
"venus.garfit@edu.tbz.ch"|"hNR$Zo-qSN@Qk-TqwPIH"
"melina.janota@edu.tbz.ch"|"9LM%VW-WSTZf#-OQxTlw"
"laurene.bake@edu.tbz.ch"|"7L%EXB-%kQoqA-kwgL&B"
"regine.dorkins@edu.tbz.ch"|"rmEnhK-mVIb8X-OCxu6r"
"cecile.moffet@edu.tbz.ch"|"enfCt#-ci0aZN-BDBlrL"
"maelann.labrone@edu.tbz.ch"|"ngwyWU-DztXZY-BTSQdV"
"melinda.newbold@edu.tbz.ch"|"lwGuzG-FrMq%0-U5ZcBP"
"mans.itzhak@edu.tbz.ch"|"&eqSNs-96bXjB-zi@wzT"
"melodie.pattlel@edu.tbz.ch"|"6cOhDk-2rC9is-TUVB0&"
"celine.bonett@edu.tbz.ch"|"Vn%Hkl-QOlAvJ-3Fm0WM"
"adelie.mcgreal@edu.tbz.ch"|"0Z5@6q-7VR1O6-pTvm0a"
"helene.soldan@edu.tbz.ch"|"J#CKRs-2MrdxF-rJIxur"
"michele.cluer@edu.tbz.ch"|"VqoieY-wZR$cd-W7ZN7S"
"maeline.mueller@edu.tbz.ch"|"g18epX-zM@Xuv-ZgMih1"
"maelann.benedito@edu.tbz.ch"|"h3gk%r-gZ6CMQ-H7V6&K"
"nuo.gransden@edu.tbz.ch"|"N7ul%@-ILzzxX-HYFd45"
"berengere.stainton@edu.tbz.ch"|"0B4N1n-uBZq8u-Dhhxq%"
"wa.sabater@edu.tbz.ch"|"Qj3Sht-1S3XoD-1kQm9I"
"anais.cochran@edu.tbz.ch"|"fIg@8e-Uqt6PD-t&%ykd"
"gerald.bessant@edu.tbz.ch"|"r01tr7-CNcmR8-0XuI2F"
"ruo.coffin@edu.tbz.ch"|"LD&MlX-Y1M0jU-3Z7Mpg"
"melodie.mustill@edu.tbz.ch"|"RWx&SO-$xgRyD-eynnFB"
"ruo.stanesby@edu.tbz.ch"|"Xy1K5D-v1oB2F-YyIdqb"
"noemie.antognelli@edu.tbz.ch"|"KVG3oR-rJ@Ry1-HUCdBt"
"maelann.hughson@edu.tbz.ch"|"RyRBT0-nbDZOB-sNTj&i"
