"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"IBmUiM-@foXDm-gMQugq"
"angele.edgecumbe@edu.tbz.ch"|"sBzEop-ui5JHc-K4DYf9"
"zhi.andreasson@edu.tbz.ch"|"kXkLWl-yzMgag-4iD#eA"
"judicael.koppeck@edu.tbz.ch"|"W@d&Gy-jl697p-$@S5sx"
"berengere.capron@edu.tbz.ch"|"qgfl2&-w$%D46-oahZd0"
"leonie.brosini@edu.tbz.ch"|"AwSWnm-Ci8e#9-8vjGT$"
"venus.garfit@edu.tbz.ch"|"hNgMa3-QnAk4N-9MHkcY"
"melina.janota@edu.tbz.ch"|"KEMJ2P-CzR5e9-DtaZMZ"
"laurene.bake@edu.tbz.ch"|"mdV8Q3-UelgAH-wi&UDJ"
"regine.dorkins@edu.tbz.ch"|"#htAGn-TpqZz7-K6SWv1"
"cecile.moffet@edu.tbz.ch"|"CT35$i-HvgeYc-VKB#OH"
"maelann.labrone@edu.tbz.ch"|"y0wl@F-BIzGTE-T3Vx3x"
"melinda.newbold@edu.tbz.ch"|"8o32q&-dC6vPm-6jsNEO"
"mans.itzhak@edu.tbz.ch"|"P5X9ZF-zWovHO-Xfz3Vi"
"melodie.pattlel@edu.tbz.ch"|"xSJrHe-@9XFD5-CsA@ak"
"celine.bonett@edu.tbz.ch"|"pAjD%P-xJr7G4-HHiNR@"
"adelie.mcgreal@edu.tbz.ch"|"R5qnQU-uPg4Y5-QrJd5M"
"helene.soldan@edu.tbz.ch"|"%wHKjv-#xY107-EoL1%L"
"michele.cluer@edu.tbz.ch"|"IDWaL6-bU81z7-mdLeNb"
"maeline.mueller@edu.tbz.ch"|"GvGk2#-L1qKDn-gBY@Nt"
"maelann.benedito@edu.tbz.ch"|"c6xTqp-9YGY$@-E%dOnf"
"nuo.gransden@edu.tbz.ch"|"nGQugY-Uf4oOc-LYBCXm"
"berengere.stainton@edu.tbz.ch"|"HOAtih-iW&mQK-2TSG5L"
"wa.sabater@edu.tbz.ch"|"7f&S9P-l3cT9l-QGVvTz"
"anais.cochran@edu.tbz.ch"|"JL9W#M-UUJOiX-Qi9TEt"
"gerald.bessant@edu.tbz.ch"|"ZD2&gC-@DzNke-xiq3Kw"
"ruo.coffin@edu.tbz.ch"|"mXc3zp-5H6r&w-X6vw$L"
"melodie.mustill@edu.tbz.ch"|"3ysfqN-K1p8i%-#a51So"
"ruo.stanesby@edu.tbz.ch"|"%30eGU-SiA1oZ-wyxJR@"
"noemie.antognelli@edu.tbz.ch"|"OKLCLB-q4MGGe-xflnzx"
"maelann.hughson@edu.tbz.ch"|"OfEFM1-P#PxmL-J70Og9"
"milena.mieville@edu.tbz.ch"|"WF52ib-&a&OCF-idWHyN"
"mailys.chamberlin@edu.tbz.ch"|"Nnbhwy-mu4fs5-jV$i4b"
"nadege.tomalin@edu.tbz.ch"|"3@Z5Oe-Yiu$MZ-7k6y$U"
"oceane.omara@edu.tbz.ch"|"h2V7Cu-rnjqM%-TvMxH%"
"cecile.aguirrezabala@edu.tbz.ch"|"%QEEL5-7rIQ39-2YYJk6"
"maella.gwillim@edu.tbz.ch"|"mk8qu@-X$k#r0-b5253r"
"lea.mcgahey@edu.tbz.ch"|"j7Qa&M-juQrBx-5lN%k$"
"laurene.hagerty@edu.tbz.ch"|"nqKmil-&oWsKR-H%jYu$"
"dorothee.link@edu.tbz.ch"|"5s7MLb-rRET6U-&lL4L1"
"clementine.kynsey@edu.tbz.ch"|"MOYo01-7ODPMZ-u$gOWS"
"lorene.smitherman@edu.tbz.ch"|"Kne2DC-RH3tw2-$KeZAm"
"cleopatre.klulicek@edu.tbz.ch"|"sM1DM@-RGL%OP-fnr612"
"laurene.castaneda@edu.tbz.ch"|"$Sxk#z-upnC5o-nlEO47"
"melia.constant@edu.tbz.ch"|"UHkmTn-%ewb$7-%9YzS6"
"lucrece.clunie@edu.tbz.ch"|"lFErO2-8&hjcS-XNFuRn"
"eleonore.mcmurthy@edu.tbz.ch"|"cY%3CI-NHrvEB-iHBj12"
"melia.bevar@edu.tbz.ch"|"7Mbo#a-PsnM8&-fC89F1"
"camelia.bontine@edu.tbz.ch"|"57%u8G-aZwZV@-%89zyR"
"methode.jozefczak@edu.tbz.ch"|"7hNBpA-fbAQoN-hnTN0V"
"audreanne.hinsche@edu.tbz.ch"|"fg5%C2-cqqvkQ-I8Kp$t"
"andree.varne@edu.tbz.ch"|"XDSiNr-y8cNc5-BBdrMJ"
"marten.kinleyside@edu.tbz.ch"|"x4#SGc-skN8id-s#XY@S"
"esteve.mcewan@edu.tbz.ch"|"&ms5Ib-KCwoFF-u8bsji"
"leane.dibbert@edu.tbz.ch"|"w7b8qZ-ynLFZw-QnmN$Y"
"ma.thewlis@edu.tbz.ch"|"Xsl0ew-pLabgj-D6OiQf"
"clea.djurkovic@edu.tbz.ch"|"9cWMLf-T9xEcG-4Yohmj"
"rachele.reburn@edu.tbz.ch"|"V$vHLN-P&L3nD-@ZvDNd"
"gerald.gowling@edu.tbz.ch"|"A%rIf2-p4T##E-5pq96u"
"cleopatre.jackson@edu.tbz.ch"|"PY6Zfm-UbkAJs-bJcUQ&"
"desiree.haskins@edu.tbz.ch"|"Vpr6E#-mm1z#E-UIKOk9"
"eleonore.longson@edu.tbz.ch"|"AdFlDl-ORtn5M-KRXUO5"
