"email"|"password"
"melodie.van der vlies@edu.tbz.ch"|"bte@SR-unLO23-7D#ssq"
"angele.edgecumbe@edu.tbz.ch"|"2V61p$-AE91WB-gZLoVx"
"zhi.andreasson@edu.tbz.ch"|"0mR0YC-EkLb%m-QBrxy6"
"judicael.koppeck@edu.tbz.ch"|"&NH0FD-#ENA1m-KW3%Q&"
"berengere.capron@edu.tbz.ch"|"oCmQO%-PIjnvu-wbEmw3"
"leonie.brosini@edu.tbz.ch"|"isXzM9-kRUVJz-15bf5M"
"venus.garfit@edu.tbz.ch"|"$m3AJV-wVJwZX-h6uNaH"
"melina.janota@edu.tbz.ch"|"#PZRTP-xVqKP%-CLrVKc"
"laurene.bake@edu.tbz.ch"|"lUfIm4-Le2SX2-o&dcw4"
"regine.dorkins@edu.tbz.ch"|"IX&H6V-y5koG@-GZghMu"
"cecile.moffet@edu.tbz.ch"|"1OKMUL-j7sKaP-xGQ0NN"
"maelann.labrone@edu.tbz.ch"|"GMNXBR-Coi8rs-zvShz@"
"melinda.newbold@edu.tbz.ch"|"xZxRWp-XkRCSO-7yQqAr"
"mans.itzhak@edu.tbz.ch"|"clhYfo-@x99I5-3fjdnf"
"melodie.pattlel@edu.tbz.ch"|"D#OK0Q-RBV00n-hdnXSL"
"celine.bonett@edu.tbz.ch"|"t7wgOv-qIS4ks-WUHQSz"
"adelie.mcgreal@edu.tbz.ch"|"QNCxaN-JsO7%C-up4e$t"
"helene.soldan@edu.tbz.ch"|"gWGyTs-gkhZqW-dcLefz"
"michele.cluer@edu.tbz.ch"|"zP$TeQ-4pGBFz-1PbIo3"
"maeline.mueller@edu.tbz.ch"|"5iMhWb-RiD06S-l1r%dV"
"maelann.benedito@edu.tbz.ch"|"WMLUlF-Ap5w6%-y6TXH4"
"nuo.gransden@edu.tbz.ch"|"LtBHdi-HPkcwo-oC#Lr6"
"berengere.stainton@edu.tbz.ch"|"SW5iiA-4Xx5QU-mViV6F"
"wa.sabater@edu.tbz.ch"|"ftMsQm-Zy6qjT-@D5rMh"
"anais.cochran@edu.tbz.ch"|"ApAoC4-kxZgXU-xey3dX"
"gerald.bessant@edu.tbz.ch"|"QwLtes-cka2Qt-mgs&9#"
"ruo.coffin@edu.tbz.ch"|"6qA078-Uhefta-@QmC4u"
"melodie.mustill@edu.tbz.ch"|"XwazT5-Z1phO3-mj@eL8"
"ruo.stanesby@edu.tbz.ch"|"nVifmK-AqonyD-Ku9#ux"
"noemie.antognelli@edu.tbz.ch"|"kl$KWh-PzX2Lq-QJuAUs"
"maelann.hughson@edu.tbz.ch"|"q%QfkU-qdB@Jw-DN2jON"
"milena.mieville@edu.tbz.ch"|"77YmUt-fTgvxd-Z%JugA"
"mailys.chamberlin@edu.tbz.ch"|"ga1z6i-G7qEQn-2%ldwf"
"nadege.tomalin@edu.tbz.ch"|"zrynX8-6l6Ciu-8MP34x"
"oceane.omara@edu.tbz.ch"|"VfVU86-rlERk$-U&@nS@"
