"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"0g7N$P-N3exXx-r50G&k"
"angele.edgecumbe@edu.tbz.ch"|"NEg993-L@ex9%-VAYrI8"
"zhi.andreasson@edu.tbz.ch"|"gCbA09-&zOVcE-FS0O#E"
"judicael.koppeck@edu.tbz.ch"|"kNYZOj-DDIggP-6M%1sF"
"berengere.capron@edu.tbz.ch"|"J5kfFH-TEWbMz-eXgYMc"
"leonie.brosini@edu.tbz.ch"|"Eev2kf-OThWp&-Rca5@Q"
"venus.garfit@edu.tbz.ch"|"@jr5nh-Yyp7Ty-ajG35R"
"melina.janota@edu.tbz.ch"|"URlIjC-4NAbBO-aYlRnc"
"laurene.bake@edu.tbz.ch"|"Sk&jjT-TfFpIc-xijdRJ"
"regine.dorkins@edu.tbz.ch"|"trdBQt-$5Z$gk-IbAiJM"
"cecile.moffet@edu.tbz.ch"|"af6LPQ-bsWe$2-uHkL1K"
"maelann.labrone@edu.tbz.ch"|"eL9QS2-IO#XDW-cpdSrv"
"melinda.newbold@edu.tbz.ch"|"V#CyZS-hSCKIJ-rSRFA8"
"mans.itzhak@edu.tbz.ch"|"J2a#sj-Kao18Z-cBRIz2"
"melodie.pattlel@edu.tbz.ch"|"yh$YC&-Wp8Ax$-thcaL1"
"celine.bonett@edu.tbz.ch"|"T&rrlS-bPe9&T-OPwgQs"
"adelie.mcgreal@edu.tbz.ch"|"@hSZgj-0GCOR2-oJ@Ucr"
"helene.soldan@edu.tbz.ch"|"34TW&y-hZh0VU-8z&Ml#"
"michele.cluer@edu.tbz.ch"|"VhhDSO-CE4HeF-hRMa3V"
"maeline.mueller@edu.tbz.ch"|"YsSnqj-jgAD%&-A$qpw&"
"maelann.benedito@edu.tbz.ch"|"ZlSR##-0qmon2-NMY9cd"
"nuo.gransden@edu.tbz.ch"|"X5nxzM-IX#m0S-@tvRaz"
"berengere.stainton@edu.tbz.ch"|"Z%uiKA-AlM$A2-Bv4xe#"
"wa.sabater@edu.tbz.ch"|"HwTg@S-eaXm6N-XNg$Xo"
"anais.cochran@edu.tbz.ch"|"5Lbd5J-Enxb4N-y38xsE"
"gerald.bessant@edu.tbz.ch"|"VnHzLB-X@WhVL-@R0HV&"
"ruo.coffin@edu.tbz.ch"|"6G$1nf-kb6ayG-e7hL45"
"melodie.mustill@edu.tbz.ch"|"vE2n5y-@CtoYX-3YRT7&"
"ruo.stanesby@edu.tbz.ch"|"ck$5KK-BfWb%&-9U6&ho"
"noemie.antognelli@edu.tbz.ch"|"4i7&5o-IL%7Cv-Aa%Z0S"
"maelann.hughson@edu.tbz.ch"|"LXicE3-Vr4mXG-6EijR&"
"milena.mieville@edu.tbz.ch"|"3fsPc3-HY0Dg6-FX$reX"
"mailys.chamberlin@edu.tbz.ch"|"vaJH19-LjjzBw-RK1jin"
"nadege.tomalin@edu.tbz.ch"|"W1a3s%-EUd04f-0H4Fhh"
"oceane.omara@edu.tbz.ch"|"dEfRU1-RhawUP-P9%doC"
"cecile.aguirrezabala@edu.tbz.ch"|"f47imn-l2TlVh-1G&T8X"
"maella.gwillim@edu.tbz.ch"|"qXjoUT-GSvint-wv1s9Y"
"lea.mcgahey@edu.tbz.ch"|"Do9pb&-mYCWnI-@Vh8KB"
"laurene.hagerty@edu.tbz.ch"|"xBdAIe-0##41w-LyEC2d"
"dorothee.link@edu.tbz.ch"|"khcsj%-hG&XPm-JUoXWn"
"clementine.kynsey@edu.tbz.ch"|"uOBtQr-%q6nF5-Ew2eUA"
"lorene.smitherman@edu.tbz.ch"|"k7$%6X-Tp&QGM-yiUViG"
"cleopatre.klulicek@edu.tbz.ch"|"$yWa%T-ZkbpbL-wxNj96"
"laurene.castaneda@edu.tbz.ch"|"2R@8e4-Nos6pF-ovKSzn"
"melia.constant@edu.tbz.ch"|"I7UVAE-6NQ9ea-zYUL5k"
"lucrece.clunie@edu.tbz.ch"|"Ea7wwT-JKjlUI-3UxZpi"
"eleonore.mcmurthy@edu.tbz.ch"|"0zCZiK-9G@DI4-qoqx2Z"
"melia.bevar@edu.tbz.ch"|"770@F#-9lRo6d-$O9bYM"
"camelia.bontine@edu.tbz.ch"|"KHl&Ko-fFKq#y-W87bDT"
"methode.jozefczak@edu.tbz.ch"|"PN&qfF-c8NU81-gMQLYS"
"audreanne.hinsche@edu.tbz.ch"|"LkxkFx-O3YIJT-VKxhAJ"
"andree.varne@edu.tbz.ch"|"&Ea#6G-8FUIsX-hCLE83"
"marten.kinleyside@edu.tbz.ch"|"TS3HG%-qQxbT4-KlVQRL"
"esteve.mcewan@edu.tbz.ch"|"$OWQa#-38E37R-ebFJbD"
"leane.dibbert@edu.tbz.ch"|"Rat$Pe-sOoeAt-a0Qwqh"
"ma.thewlis@edu.tbz.ch"|"@1qFC$-#wK62Z-HU2KXX"
"clea.djurkovic@edu.tbz.ch"|"$FFhJ3-6hRjcD-sVREcS"
