"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"%K5aJS-Yw$wWJ-64$vF7"
"angele.edgecumbe@edu.tbz.ch"|"vVtjlI-nApbqv-VjUYIT"
"zhi.andreasson@edu.tbz.ch"|"cwUnSn-nta3Jd-GoyOXq"
"judicael.koppeck@edu.tbz.ch"|"AnZFzd-4WzhKq-Y8A9Ec"
"berengere.capron@edu.tbz.ch"|"mOFKw$-Djvdpr-Qw4tKM"
"leonie.brosini@edu.tbz.ch"|"9%qORl-Gt@zsu-WNmjKr"
"venus.garfit@edu.tbz.ch"|"fVmjNj-fpeAkT-IG9246"
"melina.janota@edu.tbz.ch"|"3XFByP-H61ta#-R3BORx"
"laurene.bake@edu.tbz.ch"|"LEOL52-fo$nDP-WvBnXR"
"regine.dorkins@edu.tbz.ch"|"O&3c88-C17pFa-23Y7gc"
"cecile.moffet@edu.tbz.ch"|"321%Ko-2O@Nou-Up2R6p"
"maelann.labrone@edu.tbz.ch"|"rrVjet-8nqVP$-PvJCwX"
"melinda.newbold@edu.tbz.ch"|"71dno3-QdUE$r-l2DdE6"
"mans.itzhak@edu.tbz.ch"|"5ZZ07u-NrmZHD-NkHV0H"
"melodie.pattlel@edu.tbz.ch"|"hYTFSY-6dtO7Q-t0#e%$"
"celine.bonett@edu.tbz.ch"|"$KhXaO-C9G6Mw-CMaDy$"
"adelie.mcgreal@edu.tbz.ch"|"NJLug2-r&9u8G-SLdgyH"
"helene.soldan@edu.tbz.ch"|"g8Sx0Z-AWXXa0-3asibo"
"michele.cluer@edu.tbz.ch"|"6GaZMi-@luc5$-2&yzpR"
"maeline.mueller@edu.tbz.ch"|"1rQ%Bk-mRfTzv-b5AfhW"
"maelann.benedito@edu.tbz.ch"|"8&uAQ6-ms38$e-hFWTq7"
"nuo.gransden@edu.tbz.ch"|"R0J&yJ-Ryh0oI-WRCitZ"
"berengere.stainton@edu.tbz.ch"|"tiMIsU-z&1&gB-7fJkXh"
"wa.sabater@edu.tbz.ch"|"%VrAyF-cMCbKx-%HThwE"
"anais.cochran@edu.tbz.ch"|"ZOY3&8-5l1nDZ-xG5MI%"
"gerald.bessant@edu.tbz.ch"|"7v3mpu-3QgsvL-1rbYyC"
"ruo.coffin@edu.tbz.ch"|"HA4%mV-YPQXM%-O9sNQp"
"melodie.mustill@edu.tbz.ch"|"NYwHv%-Pt%Gc8-f%hQP9"
"ruo.stanesby@edu.tbz.ch"|"aUf&1j-e%gHny-$CcMov"
"noemie.antognelli@edu.tbz.ch"|"GnDe@W-krUo2H-xwqBsV"
"maelann.hughson@edu.tbz.ch"|"pEyndT-SRtx&X-jbZKEy"
"milena.mieville@edu.tbz.ch"|"wopjSQ-dBRfFr-EPiObx"
"mailys.chamberlin@edu.tbz.ch"|"#dXXo6-W076YU-uwq8ag"
"nadege.tomalin@edu.tbz.ch"|"EYY@uP-#@nlXj-FQivGx"
"oceane.omara@edu.tbz.ch"|"cvnaFN-AsEOeo-xVRug&"
"cecile.aguirrezabala@edu.tbz.ch"|"ZN5$bQ-uR4bi%-KW5es#"
"maella.gwillim@edu.tbz.ch"|"9s2weU-LCg%$I-bM1BQv"
"lea.mcgahey@edu.tbz.ch"|"gn8vfA-Jwl0ug-BXK3sK"
"laurene.hagerty@edu.tbz.ch"|"6%SeMt-SqPtLb-NLao1s"
"dorothee.link@edu.tbz.ch"|"m#Q4G#-nrcYKG-ZZH545"
"clementine.kynsey@edu.tbz.ch"|"dHgB@N-vg6AdA-Ldfker"
"lorene.smitherman@edu.tbz.ch"|"cfY2Tl-1UDSfP-peKjGw"
"cleopatre.klulicek@edu.tbz.ch"|"680RVo-h7ZWYa-UWFHAy"
"laurene.castaneda@edu.tbz.ch"|"Ng42dG-4KwH76-6ZTkXT"
"melia.constant@edu.tbz.ch"|"jpx7rC-SblNHX-QiCMKF"
"lucrece.clunie@edu.tbz.ch"|"4lWDXa-Bm8&VG-8WhYF8"
"eleonore.mcmurthy@edu.tbz.ch"|"flhKS6-FIVS6z-CKR7@H"
"melia.bevar@edu.tbz.ch"|"2KU5xL-0p8gYI-Ax3J7E"
"camelia.bontine@edu.tbz.ch"|"IGHF%0-Pl8D0k-YRL&%P"
"methode.jozefczak@edu.tbz.ch"|"c7FqJJ-ZfWc#c-rz2nhg"
"audreanne.hinsche@edu.tbz.ch"|"Lm&90f-YoYIrb-nytKcS"
"andree.varne@edu.tbz.ch"|"eYblkB-KiJXe8-I7qB9P"
"marten.kinleyside@edu.tbz.ch"|"a&a$qt-wSFO$7-$NX64Z"
"esteve.mcewan@edu.tbz.ch"|"oWOe1Q-9#$RCN-2MrK34"
"leane.dibbert@edu.tbz.ch"|"ThaYAZ-r#HDOl-BBeXYM"
"ma.thewlis@edu.tbz.ch"|"vN&$&s-fAJrOM-$Cv08w"
"clea.djurkovic@edu.tbz.ch"|"OQfSZu-3rB8il-bhpy%G"
"rachele.reburn@edu.tbz.ch"|"NwExrH-z9T%vv-Te$G%o"
"gerald.gowling@edu.tbz.ch"|"MxJ9Cj-ZyZfl%-9v6veZ"
"cleopatre.jackson@edu.tbz.ch"|"p7ttRw-k9GTk$-z096Dx"
"desiree.haskins@edu.tbz.ch"|"b%MwEJ-Rkg5YP-S2@05i"
"eleonore.longson@edu.tbz.ch"|"Ul1gE0-6$RXkb-$zhvyZ"
"leane.dybell@edu.tbz.ch"|"h2G7TN-@w0CbR-3wXh%e"
"becassine.grzesiak@edu.tbz.ch"|"bTle0w-ZGqQN3-xeAP1l"
"marie-josee.pickin@edu.tbz.ch"|"Z@oY%g-fssEjH-SDB&@3"
"marie-josee.roxby@edu.tbz.ch"|"dTSNut-rUR0tI-&l1sFa"
"leonie.feenan@edu.tbz.ch"|"WX3QMr-qPPI8E-HpT%Y&"
"valerie.ellum@edu.tbz.ch"|"17Si8m-aTzLX%-c47uA#"
"ju.caseri@edu.tbz.ch"|"detQmo-y99MuY-4F3#cO"
"boerje.strangman@edu.tbz.ch"|"c0bwQ4-7uWUFq-Ffhin&"
"beatrice.ghidelli@edu.tbz.ch"|"DbYvR$-d3$&8w-AEr8Wq"
"da.jablonski@edu.tbz.ch"|"GKDNeq-xbDscd-@bHK@Y"
"uo.beveridge@edu.tbz.ch"|"JqoWWr-lwXOjV-AW#NRd"
"valerie.bestman@edu.tbz.ch"|"OU%gNP-fReBgh-Z%R&lU"
"marlene.pohls@edu.tbz.ch"|"7yxtqe-25ctga-2YEwLV"
"ma.nolda@edu.tbz.ch"|"uaaL1Z-Ub#&hX-b367iq"
"marlene.bisiker@edu.tbz.ch"|"RSPCSZ-@3k4jg-QioXzU"
"estee.babon@edu.tbz.ch"|"g&wFLd-PDiik%-oyv7L5"
"simplifies.dmisek@edu.tbz.ch"|"n2@OqW-mUFlSU-7pf#yQ"
"selene.ganing@edu.tbz.ch"|"vvAPlR-udnClW-m3Pjzq"
"meryl.penke@edu.tbz.ch"|"%PDq4h-2YxtnC-me0iB1"
"anais.rawcliff@edu.tbz.ch"|"GrK$Co-cNQnxG-bfx&vT"
"melina.andri@edu.tbz.ch"|"TbHJ6D-W1TVrk-FZ2BXa"
"audreanne.fodden@edu.tbz.ch"|"@koG$$-0lePM4-wOR4zA"
"bjoern.spellesy@edu.tbz.ch"|"L@RJhn-jZZeXE-p4U@NT"
"francoise.summerscales@edu.tbz.ch"|"BnfI5J-WA34ie-rLNDr3"
"laurene.ashtonhurst@edu.tbz.ch"|"FYPJ8E-DHMc4A-ugE#CI"
"valerie.petters@edu.tbz.ch"|"MgZ2iE-6D2%2m-oSTbXU"
"anael.spenclay@edu.tbz.ch"|"zR5Plm-Ki5k5N-#k9Rf7"
"stephanie.keech@edu.tbz.ch"|"426WDh-8phZ&e-DygjCt"
"ines.deveril@edu.tbz.ch"|"kpyDnK-apDQps-djuQY#"
"berenice.gelder@edu.tbz.ch"|"@ObSQ$-Ti@#@r-5I7GTN"
"melanie.ofogerty@edu.tbz.ch"|"L4Orjr-PXhK@I-vD&P%U"
"frederique.canepe@edu.tbz.ch"|"jxP4Cj-j$4XhA-6ZmdUc"
"nuo.otton@edu.tbz.ch"|"pw87lZ-Yll9cu-sduAqo"
"genevieve.trusler@edu.tbz.ch"|"VkaHMM-Ce9Vgz-iquWIr"
"ju.boag@edu.tbz.ch"|"7sqPu#-#WCbBl-1Lu@44"
"josephine.dilucia@edu.tbz.ch"|"ZRG2Ht-SdKNjd-#C0JL%"
"laurene.armsden@edu.tbz.ch"|"xf9zaR-c0RojM-P7jGk4"
"becassine.griffe@edu.tbz.ch"|"YNBXjt-6aL8Jx-IPOe4B"
"alois.parres@edu.tbz.ch"|"YNjMhh-yUnsrI-syffgY"
"cleopatre.gaffey@edu.tbz.ch"|"r%jrd%-eeiaHe-wMqxmu"
"andre.stiger@edu.tbz.ch"|"b9fVC$-B$40x@-ooXP#$"
"beatrice.godleman@edu.tbz.ch"|"V7%@Xd-K5CmVn-i60J2s"
"hakan.harrhy@edu.tbz.ch"|"0tNu%r-zJtRln-kZ1mua"
"celestine.dagnan@edu.tbz.ch"|"bd4Sck-aseYJ@-AGmFbG"
"clemence.haggart@edu.tbz.ch"|"ZPY9vd-z3t$FL-x7okNu"
"long.caban@edu.tbz.ch"|"XP59X&-QSueln-j$FHdt"
"gaetane.grimble@edu.tbz.ch"|"sXLVTG-$qvON6-%&foNZ"
"maelann.piwall@edu.tbz.ch"|"fHYe4K-5N%2Bm-zfX0Oc"
"magdalene.loble@edu.tbz.ch"|"H@ZBFH-yHBiTU-j1ZNdH"
"veronique.domaschke@edu.tbz.ch"|"UbGYnU-esFVpc-BdmRUU"
"clea.herity@edu.tbz.ch"|"mE@ayH-Uc@GzE-gskrAo"
"maelann.bambrough@edu.tbz.ch"|"GNm@Qd-pZ4ue0-Yfv0xY"
"clea.goulstone@edu.tbz.ch"|"BwSXRs-d3bGSo-MtFZrx"
"renee.deleek@edu.tbz.ch"|"Iy3&Y%-FuNp4v-G5W5Ak"
"boerje.rudderham@edu.tbz.ch"|"X49KhF-XU7UAU-0IZNtd"
"marylene.broune@edu.tbz.ch"|"QkUYcq-tRa3&X-9Jd7l2"
"nadege.mccuish@edu.tbz.ch"|"HduBtw-L1Tth1-p#Ic8Z"
"anael.littleover@edu.tbz.ch"|"zbJxwS-WuJWG&-AepP3x"
"lie.baume@edu.tbz.ch"|"AgRSvq-QeL6Yo-OnBDZD"
"maella.murrow@edu.tbz.ch"|"y&h%6#-OMVXqJ-@SLaCv"
"cleopatre.pettifor@edu.tbz.ch"|"lSAz$z-DJN1bg-u%fdRJ"
"geraldine.asker@edu.tbz.ch"|"VcOEh9-DOTGnr-jPbSJC"
"gaetane.smedmore@edu.tbz.ch"|"3ypH%&-nJ8s8l-oZwNjS"
"meryl.blencoe@edu.tbz.ch"|"ku9quj-KBf1r4-hxg3qt"
"aurelie.chastaing@edu.tbz.ch"|"n7Ij60-68njjH-B09TwX"
"oceanne.marthen@edu.tbz.ch"|"EAZYCh-8pp7TJ-gfko%8"
"dorothee.burrill@edu.tbz.ch"|"AAXMNB-6z410E-0du9X4"
"hakan.belden@edu.tbz.ch"|"ttWEhX-cJ6iAn-ATtauj"
"celine.brunning@edu.tbz.ch"|"%V$vIR-b&XGK%-OXXj&Y"
"anael.lapides@edu.tbz.ch"|"@yu@am-vHxehv-ZxP#NK"
"ruo.saffran@edu.tbz.ch"|"yuurty-MIPySm-8NlwYY"
"loic.gerretsen@edu.tbz.ch"|"UKsGSV-jLi$bQ-F666PO"
"rui.fitzer@edu.tbz.ch"|"bZ6$yp-VwtWNP-L3LANI"
"annotee.ogers@edu.tbz.ch"|"P#k0lq-B3rQsi-0z#oJ9"
"boerje.bindin@edu.tbz.ch"|"RxsWEp-ygfI$G-zld0%H"
"ma.cronchey@edu.tbz.ch"|"g8d#eE-AFzbCO-i3id#D"
